file,line,kind,text,class
lexflow-index.html,1,text,<!DOCTYPE html>,brand/no-translation-needed
lexflow-index.html,6,text,LexFlow — Legal SaaS for Modern Law Firms,COPY
lexflow-index.html,49,text,LexFlow,brand/no-translation-needed
lexflow-index.html,62,text,🇬🇧 English,COPY
lexflow-index.html,63,text,🇮🇹 Italiano,COPY
lexflow-index.html,64,text,🇷🇺 Русский,COPY
lexflow-index.html,91,attr:alt,Studio legale — interni,COPY
lexflow-index.html,92,text,Active Matters,COPY
lexflow-index.html,110,text,✓ Notifiche automatiche sincronizzate al calendario,badge/label
lexflow-index.html,111,text,✓ Priorità visiva a colpo d'occhio,badge/label
lexflow-index.html,112,text,✓ Tutto il team aggiornato in tempo reale,badge/label
lexflow-index.html,121,text,&lt; 5 min,numeric/unit
lexflow-index.html,159,text,🛡 Handled under EU GDPR requirements,badge/label
lexflow-index.html,160,text,🔒 Working towards ISO/IEC 27001,badge/label
lexflow-index.html,161,text,🔐 Working towards ISO/IEC 27701,badge/label
lexflow-index.html,174,text,"""LexFlow cut our document intake time in half within the first month.""",COPY
lexflow-index.html,174,text,Illustrative example,COPY
lexflow-index.html,174,text,"Small firm, document handling",COPY
lexflow-index.html,175,text,"""Finally a legal tool our whole office actually enjoys using.""",COPY
lexflow-index.html,175,text,Illustrative example,COPY
lexflow-index.html,175,text,Firm administration,COPY
lexflow-index.html,176,text,"""The role-based dashboards alone justified the switch.""",COPY
lexflow-index.html,176,text,Illustrative example,COPY
lexflow-index.html,176,text,Practice management,COPY
lexflow-index.html,177,attr:alt,Luca B.,COPY
lexflow-index.html,178,attr:alt,Giulia C.,COPY
lexflow-index.html,179,attr:alt,Maria R.,COPY
lexflow-index.html,232,text,◉ WhatsApp +39 345 023 4084,COPY
lexflow-index.html,233,text,✉ Email: demo@lexflow.com,COPY
lexflow-index.html,262,attr:aria-label,LinkedIn,brand/no-translation-needed
lexflow-index.html,263,attr:aria-label,Instagram,brand/no-translation-needed
lexflow-index.html,264,attr:aria-label,WhatsApp,brand/no-translation-needed
lexflow-index.html,265,attr:aria-label,GitHub,brand/no-translation-needed
lexflow-index.html,266,attr:aria-label,Telegram,brand/no-translation-needed
lexflow-index.html,312,text,Elisa,brand/no-translation-needed
lexflow-index.html,313,text,LexFlow's digital intake assistant,COPY
lexflow-index.html,314,text,Online — intake only,COPY
lexflow-index.html,317,attr:aria-label,Minimise assistant,COPY
lexflow-index.html,318,attr:aria-label,Close assistant,COPY
lexflow-index.html,318,text,&times;,brand/no-translation-needed
lexflow-index.html,324,attr:aria-label,Conversation with Elisa,COPY
lexflow-index.html,328,text,"Hi, I'm Elisa, LexFlow's digital intake assistant. I'll take a few details and pass them to the firm. First, how can the firm reach you?",COPY
lexflow-index.html,334,text,Elisa is typing…,COPY
lexflow-index.html,339,text,Your contact details,COPY
lexflow-index.html,342,text,Email,COPY
lexflow-index.html,346,text,Phone,COPY
lexflow-index.html,349,text,Continue,COPY
lexflow-index.html,354,text,About the matter,COPY
lexflow-index.html,356,text,Practice area,COPY
lexflow-index.html,358,text,Civil law,COPY
lexflow-index.html,359,text,Corporate &amp; business,COPY
lexflow-index.html,360,text,Family law,COPY
lexflow-index.html,361,text,Criminal defence,COPY
lexflow-index.html,362,text,Real estate,COPY
lexflow-index.html,363,text,Intellectual property,COPY
lexflow-index.html,364,text,Immigration,COPY
lexflow-index.html,365,text,Labour &amp; employment,COPY
lexflow-index.html,366,text,Administrative,COPY
lexflow-index.html,367,text,Other / not sure,COPY
lexflow-index.html,371,text,Matter status,COPY
lexflow-index.html,373,text,New request,COPY
lexflow-index.html,374,text,Under review,COPY
lexflow-index.html,375,text,Existing matter,COPY
lexflow-index.html,379,text,Urgency,COPY
lexflow-index.html,381,text,Low,COPY
lexflow-index.html,382,text,Medium,COPY
lexflow-index.html,383,text,High,COPY
lexflow-index.html,384,text,Critical,COPY
lexflow-index.html,387,text,Continue,COPY
lexflow-index.html,392,text,Describe the matter,COPY
lexflow-index.html,393,text,Common requests,COPY
lexflow-index.html,395,text,New matter,COPY
lexflow-index.html,396,text,Matter status,COPY
lexflow-index.html,397,text,Urgent,COPY
lexflow-index.html,398,text,Plans &amp; pricing,COPY
lexflow-index.html,401,text,What is this about?,COPY
lexflow-index.html,405,text,Send request,COPY
lexflow-index.html,410,text,Start again,COPY
lexflow-index.html,413,text,Elisa does not give legal advice and does not replace a lawyer.,COPY
lexflow-index.html,414,text,Continue on WhatsApp,COPY
lexflow-index.html,415,text,Urgent matter? Call the firm directly.,COPY
lexflow-index.html,416,text,Do not send confidential case details here. Internal firm notes are never shown to clients.,COPY
lexflow-index.html,417,text,Privacy policy,COPY
lexflow-index.html,422,attr:aria-label,Talk to Elisa — LexFlow's digital intake assistant,COPY
lexflow-index.html,427,text,Talk to Elisa,COPY
lexflow-how-it-works.html,1,text,<!DOCTYPE html>,brand/no-translation-needed
lexflow-how-it-works.html,6,text,How It Works — LexFlow,COPY
lexflow-how-it-works.html,49,text,LexFlow,brand/no-translation-needed
lexflow-how-it-works.html,62,text,🇬🇧 English,COPY
lexflow-how-it-works.html,63,text,🇮🇹 Italiano,COPY
lexflow-how-it-works.html,64,text,🇷🇺 Русский,COPY
lexflow-how-it-works.html,81,attr:alt,Sala riunioni — Studio Legale,COPY
lexflow-how-it-works.html,82,text,The Client Journey,COPY
lexflow-how-it-works.html,109,text,"""section"">",COPY
lexflow-how-it-works.html,120,text,"tion class=""section"">",COPY
lexflow-how-it-works.html,148,text,💬 WhatsApp · +39 345 023 4084,COPY
lexflow-how-it-works.html,149,text,✉ info@lexflow.com,COPY
lexflow-how-it-works.html,150,text,✉ demo@lexflow.com,COPY
lexflow-how-it-works.html,160,attr:aria-label,LinkedIn,brand/no-translation-needed
lexflow-how-it-works.html,161,attr:aria-label,Instagram,brand/no-translation-needed
lexflow-how-it-works.html,162,attr:aria-label,WhatsApp,brand/no-translation-needed
lexflow-how-it-works.html,163,attr:aria-label,GitHub,brand/no-translation-needed
lexflow-how-it-works.html,164,attr:aria-label,Telegram,brand/no-translation-needed
lexflow-how-it-works.html,211,text,Elisa,brand/no-translation-needed
lexflow-how-it-works.html,212,text,LexFlow's digital intake assistant,COPY
lexflow-how-it-works.html,213,text,Online — intake only,COPY
lexflow-how-it-works.html,216,attr:aria-label,Minimise assistant,COPY
lexflow-how-it-works.html,217,attr:aria-label,Close assistant,COPY
lexflow-how-it-works.html,217,text,&times;,brand/no-translation-needed
lexflow-how-it-works.html,223,attr:aria-label,Conversation with Elisa,COPY
lexflow-how-it-works.html,227,text,"Hi, I'm Elisa, LexFlow's digital intake assistant. I'll take a few details and pass them to the firm. First, how can the firm reach you?",COPY
lexflow-how-it-works.html,233,text,Elisa is typing…,COPY
lexflow-how-it-works.html,238,text,Your contact details,COPY
lexflow-how-it-works.html,241,text,Email,COPY
lexflow-how-it-works.html,245,text,Phone,COPY
lexflow-how-it-works.html,248,text,Continue,COPY
lexflow-how-it-works.html,253,text,About the matter,COPY
lexflow-how-it-works.html,255,text,Practice area,COPY
lexflow-how-it-works.html,257,text,Civil law,COPY
lexflow-how-it-works.html,258,text,Corporate &amp; business,COPY
lexflow-how-it-works.html,259,text,Family law,COPY
lexflow-how-it-works.html,260,text,Criminal defence,COPY
lexflow-how-it-works.html,261,text,Real estate,COPY
lexflow-how-it-works.html,262,text,Intellectual property,COPY
lexflow-how-it-works.html,263,text,Immigration,COPY
lexflow-how-it-works.html,264,text,Labour &amp; employment,COPY
lexflow-how-it-works.html,265,text,Administrative,COPY
lexflow-how-it-works.html,266,text,Other / not sure,COPY
lexflow-how-it-works.html,270,text,Matter status,COPY
lexflow-how-it-works.html,272,text,New request,COPY
lexflow-how-it-works.html,273,text,Under review,COPY
lexflow-how-it-works.html,274,text,Existing matter,COPY
lexflow-how-it-works.html,278,text,Urgency,COPY
lexflow-how-it-works.html,280,text,Low,COPY
lexflow-how-it-works.html,281,text,Medium,COPY
lexflow-how-it-works.html,282,text,High,COPY
lexflow-how-it-works.html,283,text,Critical,COPY
lexflow-how-it-works.html,286,text,Continue,COPY
lexflow-how-it-works.html,291,text,Describe the matter,COPY
lexflow-how-it-works.html,292,text,Common requests,COPY
lexflow-how-it-works.html,294,text,New matter,COPY
lexflow-how-it-works.html,295,text,Matter status,COPY
lexflow-how-it-works.html,296,text,Urgent,COPY
lexflow-how-it-works.html,297,text,Plans &amp; pricing,COPY
lexflow-how-it-works.html,300,text,What is this about?,COPY
lexflow-how-it-works.html,304,text,Send request,COPY
lexflow-how-it-works.html,309,text,Start again,COPY
lexflow-how-it-works.html,312,text,Elisa does not give legal advice and does not replace a lawyer.,COPY
lexflow-how-it-works.html,313,text,Continue on WhatsApp,COPY
lexflow-how-it-works.html,314,text,Urgent matter? Call the firm directly.,COPY
lexflow-how-it-works.html,315,text,Do not send confidential case details here. Internal firm notes are never shown to clients.,COPY
lexflow-how-it-works.html,316,text,Privacy policy,COPY
lexflow-how-it-works.html,321,attr:aria-label,Talk to Elisa — LexFlow's digital intake assistant,COPY
lexflow-how-it-works.html,326,text,Talk to Elisa,COPY
lexflow-pricing.html,1,text,<!DOCTYPE html>,brand/no-translation-needed
lexflow-pricing.html,6,text,Pricing — LexFlow,COPY
lexflow-pricing.html,49,text,LexFlow,brand/no-translation-needed
lexflow-pricing.html,62,text,🇬🇧 English,COPY
lexflow-pricing.html,63,text,🇮🇹 Italiano,COPY
lexflow-pricing.html,64,text,🇷🇺 Русский,COPY
lexflow-pricing.html,81,attr:alt,Studio legale — ingresso,COPY
lexflow-pricing.html,82,text,Transparent Plans,COPY
lexflow-pricing.html,92,text,/user/mo,COPY
lexflow-pricing.html,104,text,Popular,brand/no-translation-needed
lexflow-pricing.html,106,text,/user/mo,COPY
lexflow-pricing.html,139,text,LexFlow — Starter,COPY
lexflow-pricing.html,139,text,$39 / user / mo,numeric/unit
lexflow-pricing.html,139,text,Billed annually,COPY
