id,claim_text,where_found,category,status,action_taken,owner_decision,required_proof_before_publishing_as_fact
CR-01,"""LexFlow supports 300+ integrations""","lexflow-faq.html visible copy + I18N faq_a3","Integrations","RESOLVED - CORRECTED","Changed from 300+ to 20+ (owner decision 2026-09-13: use 20+ for the moment)","Ole 2026-09-13: use 20+ for the moment","Owner to confirm final count and supply the integration list"
CR-02,"""bank-grade 256-bit encryption""","lexflow-faq.html faq_a9; privacy.html data-protection section","Security","OWNER-VERIFIED - KEPT","Retained as published","Ole 2026-09-13: ""consider verified""","Hold the technical evidence on file for due diligence"
CR-03,"""zero-knowledge document storage""","lexflow-faq.html faq_a9; privacy.html data-protection section","Security","OWNER-VERIFIED - KEPT","Retained as published","Ole 2026-09-13: ""consider verified""","Hold the architecture description on file"
CR-04,"""SOC2-aligned security practices""","lexflow-faq.html faq_a9; privacy.html data-protection section","Compliance","OWNER-VERIFIED - KEPT","Retained as 'SOC2-aligned'; SOC 2 also defined in the glossary","Ole 2026-09-13: ""consider verified""","Hold the alignment assessment on file"
CR-05,"""ISO 27001:2022"" badge + 'Client data is handled under ... ISO 27001:2022'","lexflow-index.html compliance band; lexflow-pricing.html badges","Compliance","REWORDED","Now reads 'Working towards ISO/IEC 27001' plus small-print status line: certification in progress, not yet held","Ole 2026-09-13: describe standards as a point of reference; state in smaller letters that certificates are in progress and coming soon","ISO/IEC 27001 certificate (number + registrar) to upgrade the wording"
CR-06,"""ISO/IEC 27701:2025"" badge + compliance text","lexflow-index.html compliance band; lexflow-pricing.html badges","Compliance","REWORDED","Now reads 'Working towards ISO/IEC 27701' plus small-print status line","Ole 2026-09-13: same treatment as CR-05","ISO/IEC 27701 certificate to upgrade the wording"
CR-07,"""GDPR compliant"" / ""GDPR + ISO compliant""","lexflow-index.html intake note + meta; lexflow-faq.html meta description and og:description","Compliance","REWORDED","Now 'handled under EU GDPR requirements'; meta descriptions rewritten without the compliance assertion","Ole 2026-09-13: formulate carefully; standards as reference point","DPO sign-off + DPIA if 'compliant' is ever to be asserted"
CR-08,"""designed to WCAG 2.2 AA standards""","lexflow-faq.html faq_a11","Accessibility","REWORDED","Now 'designed with accessibility in mind' + explicit statement that no WCAG level is claimed and an independent audit is planned","Implied by owner direction to avoid unverified compliance claims","Independent WCAG 2.2 AA audit before claiming conformance"
CR-09,"""34% pratiche chiuse più in fretta""","lexflow-index.html; lexflow-faq.html stat card","Metrics","HELD - MARKED AS UNMEASURED","Kept visible; section retitled; disclaimer added stating methodology and formal measurement are not yet documented","Owner asked for a verification path (see verification-plan.md)","Pilot measurement methodology + dataset + sample size"
CR-10,"""2.4x attività fatturabili registrate""","lexflow-index.html; lexflow-faq.html stat card","Metrics","HELD - MARKED AS UNMEASURED","Kept visible with the same disclaimer","Owner asked for a verification path","Time-tracking export comparing pre- and post-adoption periods"
